iter	Passed	Remaining
0	60	90799
1	137	103126
2	224	112184
3	289	108351
4	383	114633
5	458	114285
6	519	110872
7	580	108243
8	650	107759
9	740	110335
10	811	109821
11	878	108995
12	939	107513
13	1016	107851
14	1079	106855
15	1142	106007
16	1203	104987
17	1266	104304
18	1329	103645
19	1412	104548
20	1482	104419
21	1544	103769
22	1604	103025
23	1669	102684
24	1731	102173
25	1792	101603
26	1855	101239
27	1917	100784
28	1976	100270
29	2041	100051
30	2099	99473
31	2163	99264
32	2228	99058
33	2290	98775
34	2354	98541
35	2414	98206
36	2477	97959
37	2539	97693
38	2599	97381
39	2661	97138
40	2722	96893
41	2780	96530
42	2845	96404
43	2907	96206
44	2970	96054
45	3031	95820
46	3091	95588
47	3155	95447
48	3218	95311
49	3279	95097
50	3343	94998
51	3405	94817
52	3461	94492
53	3529	94518
54	3589	94313
55	3651	94159
56	3726	94326
57	3786	94147
58	3850	94053
59	3928	94287
60	3988	94088
61	4056	94083
62	4125	94110
63	4201	94275
64	4274	94361
65	4348	94484
66	4441	94989
67	4531	95422
68	4623	95885
69	4716	96360
70	4809	96790
71	4883	96860
72	4958	96928
73	5023	96813
74	5106	97029
75	5191	97279
76	5250	97037
77	5313	96872
78	5376	96706
79	5448	96715
80	5512	96577
81	5578	96470
82	5654	96543
83	5737	96716
84	5804	96636
85	5867	96480
86	5928	96282
87	5992	96159
88	6054	95984
89	6117	95835
90	6192	95882
91	6255	95731
92	6315	95550
93	6379	95421
94	6439	95238
95	6502	95101
96	6564	94941
97	6627	94809
98	6692	94711
99	6783	94969
100	6859	95009
101	6938	95094
102	7011	95101
103	7073	94950
104	7144	94925
105	7229	95078
106	7304	95091
107	7379	95110
108	7443	94993
109	7507	94865
110	7564	94654
111	7631	94576
112	7707	94609
113	7767	94434
114	7831	94324
115	7893	94178
116	7955	94034
117	8017	93903
118	8080	93769
119	8141	93632
120	8214	93620
121	8280	93524
122	8344	93419
123	8423	93478
124	8483	93323
125	8546	93195
126	8609	93079
127	8671	92952
128	8748	92974
129	8809	92839
130	8869	92692
131	8933	92581
132	9010	92612
133	9073	92492
134	9140	92417
135	9211	92389
136	9273	92264
137	9336	92144
138	9414	92183
139	9488	92173
140	9552	92066
141	9612	91925
142	9677	91834
143	9755	91868
144	9814	91718
145	9884	91666
146	9955	91633
147	10017	91511
148	10077	91370
149	10157	91415
150	10216	91272
151	10274	91116
152	10360	91209
153	10451	91351
154	10512	91223
155	10574	91107
156	10655	91148
157	10717	91029
158	10752	90684
159	10809	90528
160	10872	90423
161	10947	90417
162	11009	90301
163	11070	90183
164	11133	90081
165	11196	89980
166	11257	89860
167	11336	89881
168	11410	89865
169	11472	89758
170	11530	89617
171	11578	89397
172	11644	89317
173	11702	89180
174	11765	89085
175	11828	88981
176	11889	88872
177	11957	88809
178	12027	88759
179	12107	88787
180	12170	88692
181	12234	88596
182	12315	88630
183	12394	88648
184	12471	88648
185	12544	88622
186	12616	88585
187	12678	88482
188	12741	88382
189	12802	88270
190	12869	88202
191	12955	88257
192	13018	88159
193	13091	88134
194	13158	88062
195	13218	87941
196	13277	87820
197	13362	87871
198	13433	87821
199	13505	87783
200	13577	87745
201	13647	87697
202	13712	87614
203	13788	87595
204	13848	87480
205	13911	87385
206	13974	87292
207	14033	87168
208	14098	87084
209	14180	87110
210	14253	87072
211	14318	86990
212	14398	86996
213	14470	86955
214	14534	86871
215	14612	86866
216	14670	86741
217	14733	86641
218	14795	86545
219	14873	86536
220	14949	86515
221	15012	86420
222	15071	86308
223	15128	86177
224	15200	86135
225	15258	86012
226	15321	85922
227	15382	85815
228	15444	85722
229	15507	85628
230	15565	85511
231	15633	85446
232	15689	85313
233	15752	85225
234	15842	85281
235	15904	85185
236	15966	85086
237	16028	84991
238	16091	84899
239	16155	84818
240	16219	84731
241	16277	84615
242	16349	84571
243	16421	84531
244	16479	84414
245	16539	84313
246	16607	84245
247	16667	84142
248	16727	84039
249	16789	83946
250	16857	83886
251	16927	83829
252	16989	83739
253	17055	83667
254	17114	83557
255	17191	83538
256	17253	83449
257	17315	83355
258	17377	83266
259	17438	83169
260	17499	83073
261	17560	82976
262	17623	82888
263	17685	82800
264	17745	82701
265	17807	82610
266	17869	82520
267	17934	82443
268	18008	82410
269	18068	82312
270	18132	82231
271	18192	82134
272	18256	82053
273	18318	81963
274	18381	81882
275	18454	81839
276	18514	81745
277	18577	81661
278	18637	81563
279	18701	81483
280	18776	81455
281	18838	81367
282	18904	81298
283	18966	81207
284	19025	81107
285	19102	81083
286	19167	81009
287	19228	80918
288	19319	80953
289	19385	80884
290	19446	80792
291	19500	80672
292	19568	80611
293	19633	80537
294	19709	80510
295	19770	80418
296	19834	80339
297	19896	80253
298	19962	80182
299	20019	80076
300	20074	79966
301	20129	79851
302	20190	79764
303	20254	79684
304	20317	79604
305	20380	79522
306	20441	79437
307	20503	79350
308	20565	79266
309	20628	79184
310	20690	79103
311	20745	78993
312	20811	78924
313	20872	78838
314	20934	78753
315	20995	78665
316	21059	78591
317	21123	78514
318	21182	78422
319	21262	78405
320	21328	78335
321	21385	78235
322	21446	78150
323	21507	78064
324	21570	77987
325	21634	77909
326	21699	77837
327	21765	77771
328	21842	77744
329	21899	77645
330	21960	77558
331	22041	77542
332	22119	77517
333	22194	77480
334	22256	77400
335	22322	77329
336	22380	77235
337	22444	77159
338	22506	77080
339	22569	77002
340	22637	76941
341	22690	76829
342	22753	76753
343	22816	76675
344	22877	76591
345	22932	76485
346	22986	76378
347	23046	76291
