name,cpu_brand,cpu_model,cpu_gen,gpu_brand,gpu_series,gpu_gen,ram_gb,rom_gb,reviews,price
"(Intel Core i5-9600KF, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 2060 SUPER (8 Гб), ), черный матовы",INTEL,I5,9,NVIDIA,RTX,2060,16,512,0,308390
"Tactio 310H6SEA (Intel Core i5-12400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3050 (6 Гб), Без ОС",INTEL,I5,12,NVIDIA,RTX,3050,16,512,98,363449
"Tactio 310H6AE (Intel Core i5-13400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Без ОС",INTEL,I5,13,NVIDIA,RTX,5060,32,1024,98,536595
"(Intel Core i5-12400F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), ), черный 25 декабря",INTEL,I5,12,NVIDIA,RTX,4060,32,1000,0,468891
"Planio 310H6SEV (Intel Core i3-12100, RAM 16 ГБ, SSD 256 ГБ, Intel UHD Graphics 730, Без ОС), 211258",INTEL,I3,12,INTEL,INTEGRATED_INTEL,0,16,256,77,231280
"(Intel Core i5-12400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 4060 (16 Гб), ), черный 25 декабря",INTEL,I5,12,NVIDIA,RTX,4060,32,1024,0,440428
"(Intel Core i5-14400F, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 Ti (16 Гб), Windows 11 Pro), ",INTEL,I5,14,NVIDIA,RTX,5060,16,1024,33,936468
"Planio 310H6SEV (Intel Core i5-13400, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics 730, Без ОС), 211291",INTEL,I5,13,INTEL,INTEGRATED_INTEL,0,16,512,77,316230
"(Intel Core i5-14400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 11 Pro), черн",INTEL,I5,14,NVIDIA,RTX,3060,16,512,33,659700
"(Intel Core i5-13400F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4070 (12 ГБ), ), черный 25 декабря",INTEL,I5,13,NVIDIA,RTX,4070,32,1000,0,643984
"Игровой компьютер  (Intel Core i7-7700, RAM 32 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows 10 ",INTEL,I7,7,AMD,RX,580,32,512,955,266917
"(Intel Core i5-13400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 4060 Ti (8 Гб), ), черный 25 декаб",INTEL,I5,13,NVIDIA,RTX,4060,32,1024,0,505759
"(Intel Core i3-2120, RAM 8 ГБ, SSD 256 ГБ, Intel HD Graphics, Windows 10 Pro), M-WORKST-32, черный 5",INTEL,I3,2,INTEL,INTEGRATED_INTEL,0,8,256,2,34384
"Игровой компьютер (Intel Core i5-3470, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1050 Ti (4 Гб), Win",INTEL,I5,3,NVIDIA,GTX,1050,16,512,801,210841
"(AMD Ryzen 5 7500F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 4060 (8 Гб), Windows 11 Pro), черный 4",AMD,RYZEN 5,75,NVIDIA,RTX,4060,16,512,33,785960
"(AMD Ryzen 5 7600X3D, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4070 Ti SUPER (16 Гб), ), белый 26 ",AMD,RYZEN 5,76,NVIDIA,RTX,4070,32,1000,0,1833416
"(AMD Ryzen 5 7500F, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 11 Pro), черный",AMD,RYZEN 5,75,NVIDIA,RTX,3060,16,1024,33,752808
"(Intel Core i5-14400F, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5070 (12 Гб), Windows 11 Pro), чер",INTEL,I5,14,NVIDIA,RTX,5070,16,1024,33,1058912
"ПК Игровой компьютер (Intel Core i9-9900, RAM 32 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), Win",INTEL,I9,9,NVIDIA,RTX,3070,32,512,675,448834
"(Intel Core i7-7700, RAM 64 ГБ, SSD 1024 ГБ, AMD Radeon RX 580 (8 Гб), Windows 10 Pro), черный 4.7 9",INTEL,I7,7,AMD,RX,580,64,1024,955,324085
"(Intel Core i5-10400F, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), ), черный 25 декабря",INTEL,I5,10,NVIDIA,RTX,3060,16,512,0,349183
"(AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 256 ГБ, NVIDIA GeForce RTX 3060 Ti (8 Гб), Windows 11 Pro), черны",AMD,RYZEN 5,75,NVIDIA,RTX,3060,32,256,33,872694
"(Intel Core i5-14400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 Ti (16 Гб), Windows 11 Pro), ",INTEL,I5,14,NVIDIA,RTX,5060,32,1024,33,929292
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3060 Ti Dual (",AMD,RYZEN 5,55,NVIDIA,RTX,3060,16,512,606,485847
"Игровой компьютер (Intel Core i5-14400F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Win",INTEL,I5,14,NVIDIA,RTX,5060,32,1000,17,593671
"Компьютер  (Intel Core i5-2400, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1050 Ti (4 Гб), Windows 10",INTEL,I5,2,NVIDIA,GTX,1050,16,512,753,215632
"Tactio 320A6AE (AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Без ОС), ",AMD,RYZEN 5,75,NVIDIA,RTX,5060,32,1024,98,622143
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 1024 ГБ, AMD Radeon RX 580 (8 Гб), Window",AMD,RYZEN 5,55,AMD,RX,580,16,1024,606,335727
"(Intel Core i7-5930K, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 2060 SUPER (8 Гб), Windows 10 Pro),",INTEL,I7,5,NVIDIA,RTX,2060,32,1000,190,553608
"(AMD Ryzen 5 5600, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows 11 Pro), черный 4",AMD,RYZEN 5,56,NVIDIA,RTX,5060,32,1024,33,758321
"Мощный игровой (Intel Xeon E5-2680V4, RAM 32 ГБ, SSD 512 ГБ, AMD Radeon Pro Vega 56 (8 Гб), Windows ",INTEL,XEON,26,AMD,OTHER_AMD,0,32,512,315,415497
"310SC (Intel Core i5-12400, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics 730, Windows 11 Pro), 1969071,",INTEL,I5,12,INTEL,INTEGRATED_INTEL,0,16,512,4,276686
"310SC (Intel Core i3-12100, RAM 16 ГБ, SSD 256 ГБ, Intel UHD Graphics 730, Windows 11 Pro), 1969053,",INTEL,I3,12,INTEL,INTEGRATED_INTEL,0,16,256,0,227072
"(Intel Xeon E5-2650V3, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Windows 11 Pro)",INTEL,XEON,26,NVIDIA,GTX,1660,32,1000,6,338814
"Для игр и учебы с монитором 20"" (Intel Core Q8200, RAM 4 ГБ, SSD 128 ГБ, Intel HD Graphics, Windows)",INTEL,OTHER_INTEL,0,INTEL,INTEGRATED_INTEL,0,4,128,47,213243
"Мощный игровой (Intel Xeon E5-2680V4, RAM 32 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows 11 Pr",INTEL,XEON,26,AMD,RX,580,32,512,315,380069
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 1024 ГБ, NVIDIA GeForce GTX 1660 SUPER (6",AMD,RYZEN 5,55,NVIDIA,GTX,1660,16,1024,606,416023
"(Intel Core i5-2400, RAM 8 ГБ, SSD 240 ГБ, Intel HD Graphics 2000, Windows 10 Pro), черный матовый 4",INTEL,I5,2,INTEL,INTEGRATED_INTEL,0,8,240,17,101148
"Игровой компьютер  (Intel Core i7-3770, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб),",INTEL,I7,3,NVIDIA,GTX,1660,16,512,330,285655
"Игровой компьютер (Intel Core i5-14400F, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 Ti (16 Гб),",INTEL,I5,14,NVIDIA,RTX,5060,32,1024,955,894698
"Мощный игровой компьютер (AMD Ryzen 5 5500, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows",AMD,RYZEN 5,55,AMD,RX,580,16,512,606,345324
"AMD A10-7800 8G DDR3 SSD 256G Win10Pro (AMD A10-7800, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon, Windows 10 P",AMD,OTHER_AMD,0,AMD,OTHER_AMD,0,8,256,2,40071
"Игровой компьютер (AMD Ryzen 5 7500F, RAM 32 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Window",AMD,RYZEN 5,75,NVIDIA,RTX,5060,32,1000,28,662187
"Игровой компьютер  (AMD Ryzen 5 5600, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3060 Ti (8 Гб), Wind",AMD,RYZEN 5,56,NVIDIA,RTX,3060,16,512,955,492134
